time,date,Q,C,C_interp,Q_interp,phase,step_days,site
1,1983-01-18,2.2954,0.670913,FALSE,FALSE,pre,7,fernow_WS-3
2,1983-01-25,6.2307,0.655853,TRUE,FALSE,pre,7,fernow_WS-3
3,1983-02-01,18.7017,0.640794,TRUE,FALSE,pre,7,fernow_WS-3
4,1983-02-08,4.0254,0.625734,TRUE,FALSE,pre,7,fernow_WS-3
5,1983-02-15,11.2023,0.610674,TRUE,FALSE,pre,7,fernow_WS-3
6,1983-02-22,13.2638,0.595614,TRUE,FALSE,pre,7,fernow_WS-3
7,1983-03-01,4.7739,0.580554,FALSE,FALSE,pre,7,fernow_WS-3
8,1983-03-08,11.0794,0.586503,TRUE,FALSE,pre,7,fernow_WS-3
9,1983-03-15,13.5952,0.592452,TRUE,FALSE,pre,7,fernow_WS-3
10,1983-03-22,11.348,0.5984,TRUE,FALSE,pre,7,fernow_WS-3
11,1983-03-29,9.3619,0.604349,TRUE,FALSE,pre,7,fernow_WS-3
12,1983-04-05,19.9177,0.610297,TRUE,FALSE,pre,7,fernow_WS-3
13,1983-04-12,18.5737,0.616246,TRUE,FALSE,pre,7,fernow_WS-3
14,1983-04-19,25.4566,0.622195,TRUE,FALSE,pre,7,fernow_WS-3
15,1983-04-26,8.5057,0.628143,TRUE,FALSE,pre,7,fernow_WS-3
16,1983-05-03,20.7847,0.634092,TRUE,FALSE,pre,7,fernow_WS-3
17,1983-05-10,12.9527,0.640041,TRUE,FALSE,pre,7,fernow_WS-3
18,1983-05-17,20.651,0.645989,TRUE,FALSE,pre,7,fernow_WS-3
19,1983-05-24,7.8422,0.651938,TRUE,FALSE,pre,7,fernow_WS-3
20,1983-05-31,5.7649,0.657886,TRUE,FALSE,pre,7,fernow_WS-3
21,1983-06-07,2.8961,0.663835,TRUE,FALSE,pre,7,fernow_WS-3
22,1983-06-14,1.4506,0.669784,TRUE,FALSE,pre,7,fernow_WS-3
23,1983-06-21,1.6602,0.675732,TRUE,FALSE,pre,7,fernow_WS-3
24,1983-06-28,1.488,0.681681,TRUE,FALSE,pre,7,fernow_WS-3
25,1983-07-05,0.7491,0.687629,TRUE,FALSE,pre,7,fernow_WS-3
26,1983-07-12,0.4873,0.693578,TRUE,FALSE,pre,7,fernow_WS-3
27,1983-07-19,0.9423,0.699527,TRUE,FALSE,pre,7,fernow_WS-3
28,1983-07-26,0.3751,0.705475,TRUE,FALSE,pre,7,fernow_WS-3
29,1983-08-02,0.3428,0.711424,TRUE,FALSE,pre,7,fernow_WS-3
30,1983-08-09,0.536,0.717373,TRUE,FALSE,pre,7,fernow_WS-3
31,1983-08-16,0.251,0.723321,TRUE,FALSE,pre,7,fernow_WS-3
