time,date,climate,response,zero_flow,climate_interp,climate_corrupt,response_interp,phase,site,disturbance,class
55,2000-11-24,0,9.627729,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
56,2000-11-25,0,9.910898,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
57,2000-11-26,0.0041,9.34456,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
58,2000-11-27,0,9.34456,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
59,2000-11-28,0,9.061392,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
60,2000-11-29,0.0026,9.061392,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
61,2000-11-30,0.0027,9.34456,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
62,2000-12-01,0,9.061392,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
63,2000-12-02,0,9.061392,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
64,2000-12-03,0.0058,8.495055,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
65,2000-12-04,0,8.211886,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
66,2000-12-05,0,7.928718,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
67,2000-12-06,2.618,8.211886,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
68,2000-12-07,0.8132,10.477234,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
69,2000-12-08,0.1598,10.194066,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
70,2000-12-09,0.0198,10.194066,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
71,2000-12-10,0,9.910898,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
